Time/ms	Input/Volts
0	0.000
1	0.309
2	0.588
3	0.809
4	0.951
5	1.000
6	0.951
7	0.809
8	0.588
9	0.309
10	0.000
11	-0.309
12	-0.588
13	-0.809
14	-0.951
15	-1.000
16	-0.951
17	-0.809
18	-0.588
19	-0.309
20	-0.000
21	0.309
22	0.588
23	0.809
24	0.951
25	1.000
26	0.951
27	0.809
28	0.588
29	0.309
30	0.000
31	-0.309
32	-0.588
33	-0.809
34	-0.951
35	-1.000
36	-0.951
37	-0.809
38	-0.588
39	-0.309
40	-0.000
41	0.309
42	0.588
43	0.809
44	0.951
45	1.000
46	0.951
47	0.809
48	0.588
49	0.309
50	0.000
51	-0.309
52	-0.588
53	-0.809
54	-0.951
55	-1.000
56	-0.951
57	-0.809
58	-0.588
59	-0.309
60	-0.000
61	0.309
62	0.588
63	0.809
64	0.951
65	1.000
66	0.951
67	0.809
68	0.588
69	0.309
70	0.000
71	-0.309
72	-0.588
73	-0.809
74	-0.951
75	-1.000
76	-0.951
77	-0.809
78	-0.588
79	-0.309
80	-0.000
81	0.309
82	0.588
83	0.809
84	0.951
85	1.000
86	0.951
87	0.809
88	0.588
89	0.309
90	0.000
91	-0.309
92	-0.588
93	-0.809
94	-0.951
95	-1.000
96	-0.951
97	-0.809
98	-0.588
99	-0.309
100	-0.000
101	0.309
102	0.588
103	0.809
104	0.951
105	1.000
106	0.951
107	0.809
108	0.588
109	0.309
110	-0.000
111	-0.309
112	-0.588
113	-0.809
114	-0.951
115	-1.000
116	-0.951
117	-0.809
118	-0.588
119	-0.309
120	-0.000
121	0.309
122	0.588
123	0.809
124	0.951
125	1.000
126	0.951
127	0.809
128	0.588
129	0.309
130	0.000
131	-0.309
132	-0.588
133	-0.809
134	-0.951
135	-1.000
136	-0.951
137	-0.809
138	-0.588
139	-0.309
140	-0.000
141	0.309
142	0.588
143	0.809
144	0.951
145	1.000
146	0.951
147	0.809
148	0.588
149	0.309
150	0.000
151	-0.309
152	-0.588
153	-0.809
154	-0.951
155	-1.000
156	-0.951
157	-0.809
158	-0.588
159	-0.309
160	-0.000
161	0.309
162	0.588
163	0.809
164	0.951
165	1.000
166	0.951
167	0.809
168	0.588
169	0.309
170	-0.000
171	-0.309
172	-0.588
173	-0.809
174	-0.951
175	-1.000
176	-0.951
177	-0.809
178	-0.588
179	-0.309
180	-0.000
181	0.309
182	0.588
183	0.809
184	0.951
185	1.000
186	0.951
187	0.809
188	0.588
189	0.309
190	-0.000
191	-0.309
192	-0.588
193	-0.809
194	-0.951
195	-1.000
196	-0.951
197	-0.809
198	-0.588
199	-0.309
200	-0.000
201	0.309
202	0.588
203	0.809
204	0.951
205	1.000
206	0.951
207	0.809
208	0.588
209	0.309
210	-0.000
211	-0.309
212	-0.588
213	-0.809
214	-0.951
215	-1.000
216	-0.951
217	-0.809
218	-0.588
219	-0.309
220	0.000
221	0.309
222	0.588
223	0.809
224	0.951
225	1.000
226	0.951
227	0.809
228	0.588
229	0.309
230	-0.000
231	-0.309
232	-0.588
233	-0.809
234	-0.951
235	-1.000
236	-0.951
237	-0.809
238	-0.588
239	-0.309
240	-0.000
241	0.309
242	0.588
243	0.809
244	0.951
245	1.000
246	0.951
247	0.809
248	0.588
249	0.309
250	0.000
251	-0.309
252	-0.588
253	-0.809
254	-0.951
255	-1.000
256	-0.951
257	-0.809
258	-0.588
259	-0.309
260	-0.000
261	0.309
262	0.588
263	0.809
264	0.951
265	1.000
266	0.951
267	0.809
268	0.588
269	0.309
270	0.000
271	-0.309
272	-0.588
273	-0.809
274	-0.951
275	-1.000
276	-0.951
277	-0.809
278	-0.588
279	-0.309
280	-0.000
281	0.309
282	0.588
283	0.809
284	0.951
285	1.000
286	0.951
287	0.809
288	0.588
289	0.309
290	-0.000
291	-0.309
292	-0.588
293	-0.809
294	-0.951
295	-1.000
296	-0.951
297	-0.809
298	-0.588
299	-0.309
300	-0.000
301	0.309
302	0.588
303	0.809
304	0.951
305	1.000
306	0.951
307	0.809
308	0.588
309	0.309
310	0.000
311	-0.309
312	-0.588
313	-0.809
314	-0.951
315	-1.000
316	-0.951
317	-0.809
318	-0.588
319	-0.309
320	-0.000
321	0.309
322	0.588
323	0.809
324	0.951
325	1.000
326	0.951
327	0.809
328	0.588
329	0.309
330	0.000
331	-0.309
332	-0.588
333	-0.809
334	-0.951
335	-1.000
336	-0.951
337	-0.809
338	-0.588
339	-0.309
340	0.000
341	0.309
342	0.588
343	0.809
344	0.951
345	1.000
346	0.951
347	0.809
348	0.588
349	0.309
350	0.000
351	-0.309
352	-0.588
353	-0.809
354	-0.951
355	-1.000
356	-0.951
357	-0.809
358	-0.588
359	-0.309
360	-0.000
361	0.309
362	0.588
363	0.809
364	0.951
365	1.000
366	0.951
367	0.809
368	0.588
369	0.309
370	0.000
371	-0.309
372	-0.588
373	-0.809
374	-0.951
375	-1.000
376	-0.951
377	-0.809
378	-0.588
379	-0.309
380	0.000
381	0.309
382	0.588
383	0.809
384	0.951
385	1.000
386	0.951
387	0.809
388	0.588
389	0.309
390	0.000
391	-0.309
392	-0.588
393	-0.809
394	-0.951
395	-1.000
396	-0.951
397	-0.809
398	-0.588
399	-0.309
400	-0.000
401	0.309
402	0.588
403	0.809
404	0.951
405	1.000
406	0.951
407	0.809
408	0.588
409	0.309
410	0.000
411	-0.309
412	-0.588
413	-0.809
414	-0.951
415	-1.000
416	-0.951
417	-0.809
418	-0.588
419	-0.309
420	0.000
421	0.309
422	0.588
423	0.809
424	0.951
425	1.000
426	0.951
427	0.809
428	0.588
429	0.309
430	0.000
431	-0.309
432	-0.588
433	-0.809
434	-0.951
435	-1.000
436	-0.951
437	-0.809
438	-0.588
439	-0.309
440	0.000
441	0.309
442	0.588
443	0.809
444	0.951
445	1.000
446	0.951
447	0.809
448	0.588
449	0.309
450	0.000
451	-0.309
452	-0.588
453	-0.809
454	-0.951
455	-1.000
456	-0.951
457	-0.809
458	-0.588
459	-0.309
460	0.000
461	0.309
462	0.588
463	0.809
464	0.951
465	1.000
466	0.951
467	0.809
468	0.588
469	0.309
470	-0.000
471	-0.309
472	-0.588
473	-0.809
474	-0.951
475	-1.000
476	-0.951
477	-0.809
478	-0.588
479	-0.309
480	-0.000
481	0.309
482	0.588
483	0.809
484	0.951
485	1.000
486	0.951
487	0.809
488	0.588
489	0.309
490	0.000
491	-0.309
492	-0.588
493	-0.809
494	-0.951
495	-1.000
496	-0.951
497	-0.809
498	-0.588
499	-0.309
500	-0.000
501	0.309
502	0.588
503	0.809
504	0.951
505	1.000
506	0.951
507	0.809
508	0.588
509	0.309
510	0.000
511	-0.309
512	-0.588
513	-0.809
514	-0.951
515	-1.000
516	-0.951
517	-0.809
518	-0.588
519	-0.309
520	-0.000
521	0.309
522	0.588
523	0.809
524	0.951
525	1.000
526	0.951
527	0.809
528	0.588
529	0.309
530	0.000
531	-0.309
532	-0.588
533	-0.809
534	-0.951
535	-1.000
536	-0.951
537	-0.809
538	-0.588
539	-0.309
540	-0.000
541	0.309
542	0.588
543	0.809
544	0.951
545	1.000
546	0.951
547	0.809
548	0.588
549	0.309
550	-0.000
551	-0.309
552	-0.588
553	-0.809
554	-0.951
555	-1.000
556	-0.951
557	-0.809
558	-0.588
559	-0.309
560	-0.000
561	0.309
562	0.588
563	0.809
564	0.951
565	1.000
566	0.951
567	0.809
568	0.588
569	0.309
570	-0.000
